zip,white_pop
61353,1211
61354,10544
61356,10680
61358,330
61359,318
61360,3542
61361,1053
61362,5094
61363,220
61364,18144
61367,693
61368,1477
61369,1541
61370,1416
61372,183
61373,1902
61374,107
61375,1162
61376,2635
61377,1590
61378,417
61379,1378
61401,27718
61410,3681
61411,363
61412,1422
61413,970
61414,895
61415,1674
61416,238
61417,210
61418,630
61419,144
61420,1144
61421,1206
61422,3063
61423,574
61424,94
61425,304
61426,106
61427,2087
61428,932
61430,768
61431,397
61432,570
61433,77
61434,2978
61435,70
61436,800
61437,858
61438,905
61439,214
61440,816
61441,1071
61442,671
61443,11778
61447,999
61448,3624
61449,458
61450,1845
61451,458
61452,307
61453,640
61454,556
61455,18621
61458,922
61459,367
61460,237
61462,10096
61465,1198
61466,394
61467,1016
61468,56
61469,2065
61470,528
61471,77
61472,505
61473,1646
61474,209
61475,152
61476,529
61477,517
61478,308
61479,206
61480,1269
61482,630
61483,2052
61484,790
61485,484
61486,1360
61488,1022
61489,941
61490,1272
61491,2040
61501,1616
61516,714
61517,3153
61519,235
61520,15710
61523,11167
61524,293
61525,7502
61526,853
61528,2418
61529,2650
61530,6802
61531,3254
61532,638
61533,2546
61534,1707
61535,1328
61536,2750
61537,2579
61539,218
61540,2735
61541,106
61542,3568
61543,180
61544,547
61545,718
61546,3650
61547,4075
61548,11668
61550,17162
61552,181
61553,167
61554,41703
61559,2998
61560,488
61561,2692
61562,0
61563,560
61564,1053
61565,1465
61567,580
61568,4018
61569,1035
61570,1721
61571,23438
61572,1090
61602,671
61603,7872
61604,20617
61605,5439
61606,5898
61607,10771
61610,5489
61611,23898
61614,22751
61615,16191
61616,5381
61625,305
61701,28641
61704,27774
61705,11471
61720,184
61721,637
61722,396
61723,1856
61724,605
61725,1512
61726,2338
61727,9551
61728,1258
61729,1068
61730,285
61731,144
61732,2064
61733,914
61734,2800
61735,514
61736,1710
61737,620
61738,4247
61739,4753
61740,1606
61741,1550
61742,1231
61743,202
61744,1801
61745,4185
61747,1340
61748,2727
61749,498
61750,103
61751,128
61752,4375
61753,3320
61754,1076
61755,4719
61756,2190
61759,1799
61760,2463
61761,45161
61764,13109
61769,508
61770,1103
61771,919
61772,291
61773,499
61774,945
61775,350
61776,1377
61777,711
61778,810
61801,18439
61802,13503
61810,316
61811,528
61812,393
61813,1814
61814,1231
61815,246
61816,458
61817,2634
61818,1595
61820,24336
61821,21125
61822,17394
61830,273
61831,126
61832,24591
61833,2218
61834,7275
61839,661
61840,901
61841,1365
61842,2536
61843,2299
61844,823
61845,275
61846,4886
61847,1120
61848,232
61849,1741
61850,506
61851,266
61852,240
61853,13249
61854,1135
61855,157
61856,7460
61857,194
61858,2790
61859,1237
61862,493
61863,590
61864,1732
61865,1314
61866,10021
61870,1205
61871,231
61872,1167
61873,6316
61874,5435
61875,840
61876,769
61877,1807
61878,1351
61880,3862
61882,689
61883,3987
61884,1211
61910,3921
61911,4976
61912,1253
61913,1375
61914,1832
61917,660
